NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"García Hernández, José Ramón",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"García Pérez, Pablo",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Granada,M,,,,,,,,,,,x,
"García Sena, Teresa",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Valencia,F,,,,,,,,,x,,,
"García-Tizón López, Arturo",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Toledo,M,,,,,,,x,,,,,
"Garzón Espinosa, Alberto",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,M,,,,,,,,,,x,x,
"Gil Lázaro, Ignacio",2813.87,944.49,818.46,677.35,,697.65,1823.86,7775.68,108859.52,Valencia,M,,,,x,,,,,x,,,
"Girela de la Fuente, José Manuel",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Sevilla,M,,,,,,,,,,,x,
"Gómez de la Serna y Villacieros, Pedro Ramón",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Segovia,M,,,,,,,,,,x,,
"Gómez Sánchez, Tomás Valeriano",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"González Cabaña, Francisco",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,M,,,,,,,,,,x,x,
"González Gutiérrez, Concepción",2813.87,,,,,,1823.86,4637.73,64928.22,Cáceres,F,,,,,,,,,,,,
"González Muñoz, Ángel Luis",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Málaga,M,,,,,,,,,,,x,
"González Ramos, Manuel Gabriel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Albacete,M,,,,,,,,,x,x,,
"González Santín, María Luisa",2813.87,,,,,697.65,1823.86,5335.38,74695.32,León,F,,,,,,,,,x,,,
